452,cpu%_package-global,2.07156
452,cpu%_package-0,2.07061
452,freq_package-0,1624792.5
528,psys-1,17.25069
528,core-0,3.93942
528,package-0,7.16954
528,uncore-0,0.36975
528,package-global,7.16954
528,cpu%_package-global,4.55259
528,cpu%_package-0,4.58368
528,freq_package-0,1781382.75
468,psys-1,17.46827
468,core-0,4.0059
468,package-0,7.28249
468,uncore-0,0.39223
468,package-global,7.28249
468,cpu%_package-global,4.73503
468,cpu%_package-0,4.70393
468,freq_package-0,2448085.5
408,psys-1,17.56567
408,core-0,4.06745
408,package-0,7.35083
408,uncore-0,0.39201
408,package-global,7.35083
408,cpu%_package-global,4.82759
408,cpu%_package-0,4.79733
408,freq_package-0,3032299.5
484,psys-1,18.12249
484,core-0,4.42822
484,package-0,7.76618
484,uncore-0,0.45056
484,package-global,7.76618
484,cpu%_package-global,5.29449
484,cpu%_package-0,5.22348
484,freq_package-0,2641204.75
424,psys-1,18.11753
424,core-0,4.42815
424,package-0,7.76762
424,uncore-0,0.45013
424,package-global,7.76762
424,cpu%_package-global,5.29449
424,cpu%_package-0,5.23261
424,freq_package-0,2293535.125
500,psys-1,17.35465
500,core-0,4.08983
500,package-0,7.27413
500,uncore-0,0.42248
500,package-global,7.27413
500,cpu%_package-global,4.94678
500,cpu%_package-0,4.93702
500,freq_package-0,2776143.5
440,psys-1,17.42335
440,core-0,4.12962
440,package-0,7.33254
440,uncore-0,0.42847
440,package-global,7.33254
440,cpu%_package-global,5.00782
440,cpu%_package-0,5.0304
440,freq_package-0,2652689.375
516,psys-1,16.99468
516,core-0,3.93466
516,package-0,7.05301
516,uncore-0,0.40156
516,package-global,7.05301
516,cpu%_package-global,4.72909
516,cpu%_package-0,4.59957
516,freq_package-0,2916833.875
396,psys-1,16.70378
396,core-0,3.79878
396,package-0,6.86338
396,uncore-0,0.39497
396,package-global,6.86338
396,cpu%_package-global,4.57107
396,cpu%_package-0,4.5924
396,freq_package-0,2376359.75
456,psys-1,16.70685
456,core-0,3.79373
456,package-0,6.86199
456,uncore-0,0.39642
456,package-global,6.86199
456,cpu%_package-global,4.5725
456,cpu%_package-0,4.59294
456,freq_package-0,2749571.0
160,psys-1,16.33821
160,core-0,3.55623
160,package-0,6.59125
160,uncore-0,0.38352
160,package-global,6.59125
160,cpu%_package-global,4.08726
160,cpu%_package-0,3.98535
160,freq_package-0,2477309.0
532,psys-1,14.85895
532,core-0,2.61687
532,package-0,5.49873
532,uncore-0,0.36769
532,package-global,5.49873
532,cpu%_package-global,2.28554
532,cpu%_package-0,2.1923
532,freq_package-0,2477309.0
145,psys-1,16.32537
145,core-0,3.54897
145,package-0,6.58266
145,uncore-0,0.3841
145,package-global,6.58266
145,cpu%_package-global,4.08419
145,cpu%_package-0,3.9841
145,freq_package-0,2751947.125
130,psys-1,16.15933
130,core-0,3.47511
130,package-0,6.47405
130,uncore-0,0.37939
130,package-global,6.47405
130,cpu%_package-global,4.00902
130,cpu%_package-0,3.98021
130,freq_package-0,3678346.125
100,psys-1,16.17035
100,core-0,3.48234
100,package-0,6.48323
100,uncore-0,0.38027
100,package-global,6.48323
100,cpu%_package-global,4.01003
100,cpu%_package-0,3.98227
100,freq_package-0,3813667.875
115,psys-1,16.20016
115,core-0,3.4919
115,package-0,6.50032
115,uncore-0,0.38549
115,package-global,6.50032
115,cpu%_package-global,4.01003
115,cpu%_package-0,3.98504
115,freq_package-0,2082075.375
70,psys-1,16.21843
70,core-0,3.49736
70,package-0,6.51257
70,uncore-0,0.38895
70,package-global,6.51257
70,cpu%_package-global,4.01103
70,cpu%_package-0,3.98227
70,freq_package-0,2025154.625
85,psys-1,16.21448
85,core-0,3.49361
85,package-0,6.51193
85,uncore-0,0.39197
85,package-global,6.51193
85,cpu%_package-global,4.01103
85,cpu%_package-0,3.98178
85,freq_package-0,1094603.875
55,psys-1,16.2103
55,core-0,3.49115
55,package-0,6.51036
55,uncore-0,0.39287
55,package-global,6.51036
55,cpu%_package-global,4.01103
55,cpu%_package-0,3.98339
55,freq_package-0,1867611.75
40,psys-1,16.2102
40,core-0,3.49113
40,package-0,6.51032
40,uncore-0,0.39287
40,package-global,6.51032
40,cpu%_package-global,4.01103
40,cpu%_package-0,3.98339
40,freq_package-0,1867611.75
472,psys-1,14.80102
472,core-0,2.6084
472,package-0,5.47498
472,uncore-0,0.36296
472,package-global,5.47498
472,cpu%_package-global,2.13233
472,cpu%_package-0,2.12995
472,freq_package-0,1931145.625
25,psys-1,16.211
25,core-0,3.48986
25,package-0,6.5088
25,uncore-0,0.39307
25,package-global,6.5088
25,cpu%_package-global,4.01003
25,cpu%_package-0,3.98227
25,freq_package-0,1964916.25
412,psys-1,14.6928
412,core-0,2.54043
412,package-0,5.40184
412,uncore-0,0.36342
412,package-global,5.40184
412,cpu%_package-global,2.03954
412,cpu%_package-0,2.03834
412,freq_package-0,1940548.125
488,psys-1,14.21175
488,core-0,2.24509
488,package-0,5.04636
488,uncore-0,0.34438
488,package-global,5.04636
488,cpu%_package-global,1.60176
488,cpu%_package-0,1.57154
488,freq_package-0,2561773.125
428,psys-1,14.25426
428,core-0,2.25809
428,package-0,5.06421
428,uncore-0,0.34593
428,package-global,5.06421
428,cpu%_package-global,1.66301
428,cpu%_package-0,1.60114
428,freq_package-0,3350174.625
504,psys-1,14.54887
504,core-0,2.30561
504,package-0,5.23044
504,uncore-0,0.39531
504,package-global,5.23044
504,cpu%_package-global,1.60226
504,cpu%_package-0,1.6309
504,freq_package-0,1967807.625
444,psys-1,14.47636
444,core-0,2.26421
444,package-0,5.16804
444,uncore-0,0.38864
444,package-global,5.16804
444,cpu%_package-global,1.53991
444,cpu%_package-0,1.56998
444,freq_package-0,2676107.5
520,psys-1,14.92577
520,core-0,2.49276
520,package-0,5.47031
520,uncore-0,0.40687
520,package-global,5.47031
520,cpu%_package-global,1.79133
520,cpu%_package-0,1.88278
520,freq_package-0,2548803.25
400,psys-1,15.03138
400,core-0,2.54196
400,package-0,5.55286
400,uncore-0,0.42361
400,package-global,5.55286
400,cpu%_package-global,1.88561
400,cpu%_package-0,1.88413
400,freq_package-0,3002569.5
460,psys-1,15.0463
460,core-0,2.55862
460,package-0,5.56702
460,uncore-0,0.42182
460,package-global,5.56702
460,cpu%_package-global,1.88561
460,cpu%_package-0,1.88507
460,freq_package-0,1711647.375
